"","date","real","model"
"200",1960-07-18,2660,2306.8280396782
"201",1960-07-19,2790,2468.48665556606
"202",1960-07-20,2530,2425.63106233649
"203",1960-07-21,2400,2255.075029698
"204",1960-07-22,2490,2371.35655736596
"205",1960-07-23,2840,2533.4582823937
"206",1960-07-24,2840,2733.51224034941
"207",1960-07-25,3030,2985.70659081881
"208",1960-07-26,3230,3212.68790289748
"209",1960-07-27,3180,3324.30814801697
"210",1960-07-28,3280,3132.48192196772
"211",1960-07-29,3150,2820.32947743978
"212",1960-07-30,3040,2606.11146072144
"213",1960-07-31,2880,2374.24041135189
"214",1960-08-01,2720,2122.98130785917
"215",1960-08-02,2590,1923.43055566763
"216",1960-08-03,2570,1863.39675395476
"217",1960-08-04,2680,2052.43148791302
"218",1960-08-05,2600,2279.80326011994
"219",1960-08-06,2530,2359.58305093919
"220",1960-08-07,2380,2218.18240251025
"221",1960-08-08,2360,2184.45883973244
"222",1960-08-09,2360,2330.28160834182
"223",1960-08-10,2360,2440.39219342768
"224",1960-08-11,2860,2565.81598150839
"225",1960-08-12,2740,2729.54342108671
"226",1960-08-13,2680,2878.70801506134
"227",1960-08-14,3300,3105.31196154104
"228",1960-08-15,4310,3453.72373408004
"229",1960-08-16,3680,3622.22707569787
"230",1960-08-17,3340,3506.70820367632
"231",1960-08-18,3180,3180.4025888136
"232",1960-08-19,2820,2821.64566777783
"233",1960-08-20,2740,2668.35081820484
"234",1960-08-21,3500,2936.99070894709
"235",1960-08-22,3410,3237.5809671319
"236",1960-08-23,3460,3283.12162628993
"237",1960-08-24,3160,3015.57280436746
"238",1960-08-25,2780,2603.19583988383
"239",1960-08-26,2560,2245.02915077113
"240",1960-08-27,2410,1985.89209685979
"241",1960-08-28,2270,1821.71209578032
"242",1960-08-29,2160,1782.7491600042
"243",1960-08-30,2040,1757.94164093607
"244",1960-08-31,2050,1725.17302432987
"245",1960-09-01,2010,1754.08505481237
"246",1960-09-02,2160,1790.48161715063
"247",1960-09-03,1970,1748.75766587008
"248",1960-09-04,1820,1676.83712224464
"249",1960-09-05,1790,1669.2686558465
"250",1960-09-06,1690,1811.9099251354
"251",1960-09-07,2400,2231.37416557076
"252",1960-09-08,3170,2793.2987696036
"253",1960-09-09,2920,3148.33196400278
"254",1960-09-10,2790,3160.79846312697
"255",1960-09-11,2640,3026.36166635618
"256",1960-09-12,2420,2791.62493762059
"257",1960-09-13,2210,2470.58563385324
"258",1960-09-14,2010,2161.01538703473
"259",1960-09-15,1900,1924.4118799277
"260",1960-09-16,1790,1753.85363304204
"261",1960-09-17,1740,1632.06437041145
"262",1960-09-18,1660,1542.22553017913
"263",1960-09-19,1910,1511.71867996619
"264",1960-09-20,2290,1760.80771093336
"265",1960-09-21,1990,2052.69415392287
"266",1960-09-22,2030,2159.08117977746
"267",1960-09-23,2140,2295.48970481326
"268",1960-09-24,2050,2265.75732077536
"269",1960-09-25,1880,2067.86600796322
"270",1960-09-26,1740,1887.03257491979
"271",1960-09-27,1670,1742.66999515937
"272",1960-09-28,1610,1628.65043355195
"273",1960-09-29,1550,1541.79088906193
"274",1960-09-30,1500,1478.43328210401
"275",1960-10-01,1500,1444.90357413133
"276",1960-10-02,1490,1476.62790704166
"277",1960-10-03,1500,1559.44155800178
"278",1960-10-04,1520,1611.47644747666
"279",1960-10-05,1440,1554.36829542579
"280",1960-10-06,1420,1451.36795198387
"281",1960-10-07,1410,1461.08499801474
"282",1960-10-08,1450,1536.95185888718
"283",1960-10-09,1470,1680.31856103594
"284",1960-10-10,1680,2024.61192485584
"285",1960-10-11,1630,2159.96572339977
"286",1960-10-12,1830,2144.02921729905
"287",1960-10-13,1820,2180.65484087803
"288",1960-10-14,1780,2131.44957398691
"289",1960-10-15,1700,2070.02591964577
"290",1960-10-16,1640,2069.24040743751
"291",1960-10-17,1610,1995.39107232202
"292",1960-10-18,1740,2199.93031843144
"293",1960-10-19,2090,2564.3160339138
"294",1960-10-20,2360,2905.37068444416
"295",1960-10-21,2370,3043.55318151987
"296",1960-10-22,2310,3066.29187800704
"297",1960-10-23,2340,2976.52128886534
"298",1960-10-24,2230,2785.21810463197
"299",1960-10-25,2020,2557.44112600291
"300",1960-10-26,1970,2340.97487972369
"301",1960-10-27,1930,2179.61415967783
"302",1960-10-28,1880,2065.37670024577
"303",1960-10-29,1840,1995.74419067771
"304",1960-10-30,1790,1925.11962276174
"305",1960-10-31,1700,1827.81642294562
"306",1960-11-01,1790,1784.12576768561
"307",1960-11-02,1800,1792.55105506454
"308",1960-11-03,1580,1765.18555612895
"309",1960-11-04,1570,1732.35033257726
"310",1960-11-05,1560,1705.30875891432
"311",1960-11-06,1540,1690.46208182272
"312",1960-11-07,1630,1768.05909152061
"313",1960-11-08,1670,1977.47244161698
"314",1960-11-09,1580,2015.41718574383
"315",1960-11-10,1560,1869.31917001768
"316",1960-11-11,1530,1735.82853516857
"317",1960-11-12,1470,1623.7338882424
"318",1960-11-13,1430,1540.53694341826
"319",1960-11-14,1400,1499.35781801062
"320",1960-11-15,1340,1477.67983822573
"321",1960-11-16,1380,1449.24877765782
"322",1960-11-17,1370,1418.72763483247
"323",1960-11-18,1300,1381.89084144938
"324",1960-11-19,1300,1390.89403893432
"325",1960-11-20,1320,1434.44834287985
"326",1960-11-21,1370,1449.78828582675
"327",1960-11-22,1390,1499.93961797575
"328",1960-11-23,1420,1505.64185468924
"329",1960-11-24,1420,1472.54927401545
"330",1960-11-25,1440,1440.89686186458
"331",1960-11-26,1430,1414.30204140237
"332",1960-11-27,1380,1388.77059509887
"333",1960-11-28,1350,1409.17497482722
"334",1960-11-29,1290,1447.28688266607
"335",1960-11-30,1340,1443.92261727703
"336",1960-12-01,1440,1434.47212171464
"337",1960-12-02,1480,1395.73400209752
"338",1960-12-03,1470,1346.72335711482
"339",1960-12-04,1330,1295.86212122291
"340",1960-12-05,1290,1255.79516893361
"341",1960-12-06,1230,1218.98950480511
"342",1960-12-07,1210,1203.97894307654
"343",1960-12-08,1250,1293.37265046932
"344",1960-12-09,1280,1582.02025719808
"345",1960-12-10,1380,1768.48275829547
"346",1960-12-11,1450,1792.61339802873
"347",1960-12-12,1490,1753.8403331169
"348",1960-12-13,1420,1641.12776585116
"349",1960-12-14,1420,1515.57314309504
"350",1960-12-15,1380,1436.07187017921
"351",1960-12-16,1380,1370.81950914187
"352",1960-12-17,1350,1322.81368289677
"353",1960-12-18,1320,1294.89947743944
"354",1960-12-19,1310,1271.96408114798
"355",1960-12-20,1270,1246.20743034109
"356",1960-12-21,1270,1214.87171454761
"357",1960-12-22,1290,1195.92349992595
"358",1960-12-23,1310,1156.21394701012
"359",1960-12-24,1320,1113.8293939414
"360",1960-12-25,1310,1076.29420200257
"361",1960-12-26,1250,1041.57921283793
"362",1960-12-27,1150,1009.25267633062
"363",1960-12-28,1040,979.097971416766
"364",1960-12-29,1080,950.907720620586
"365",1960-12-30,1120,924.502991046934
"366",1960-12-31,1140,899.726812475766
"367",1961-01-01,1110,876.431434406592
"368",1961-01-02,1070,854.483385944542
"369",1961-01-03,1020,835.152742870168
"370",1961-01-04,1020,844.284725064671
"371",1961-01-05,1070,847.926320307441
"372",1961-01-06,1120,845.00794686864
"373",1961-01-07,1090,835.182892562453
"374",1961-01-08,1070,816.677962445661
"375",1961-01-09,1080,798.460709173677
"376",1961-01-10,1000,786.313175835068
"377",1961-01-11,1060,781.442150847275
"378",1961-01-12,1080,776.610339903354
"379",1961-01-13,1070,760.994029948031
"380",1961-01-14,1100,738.938437703
"381",1961-01-15,1070,719.949352245017
"382",1961-01-16,1020,703.834880284293
"383",1961-01-17,997,688.755610296228
"384",1961-01-18,979,674.431807797623
"385",1961-01-19,960,660.785130946866
"386",1961-01-20,934,647.757875910824
"387",1961-01-21,906,635.308925617819
"388",1961-01-22,836,623.394522651521
"389",1961-01-23,850,611.97478762902
"390",1961-01-24,870,601.01350085017
"391",1961-01-25,910,590.47775698895
"392",1961-01-26,905,580.340808706054
"393",1961-01-27,891,570.59009506209
"394",1961-01-28,917,561.196075913471
"395",1961-01-29,923,552.087003687088
"396",1961-01-30,896,543.278240413135
"397",1961-01-31,910,557.340476393759
"398",1961-02-01,960,676.610938485332
"399",1961-02-02,1180,934.31978668835
"400",1961-02-03,1500,1283.45444307438
"401",1961-02-04,1850,1610.98423484528
"402",1961-02-05,2020,1813.70991263058
"403",1961-02-06,1920,1840.5165511101
"404",1961-02-07,1730,1741.16300118264
"405",1961-02-08,1550,1579.55273914839
"406",1961-02-09,1620,1641.70344299116
"407",1961-02-10,2240,1992.77929230873
"408",1961-02-11,3260,2553.57041038417
"409",1961-02-12,2910,3112.57615569673
"410",1961-02-13,3060,3505.91559430158
"411",1961-02-14,3290,3654.5320147097
"412",1961-02-15,2860,3540.89289268388
"413",1961-02-16,2760,3358.78316546438
"414",1961-02-17,2630,3088.65748631104
"415",1961-02-18,2480,2752.67015666671
"416",1961-02-19,2350,2458.70358263018
"417",1961-02-20,2260,2219.50240762533
"418",1961-02-21,2160,2010.65729923791
"419",1961-02-22,2100,1847.19130715478
"420",1961-02-23,2040,1728.05329023355
"421",1961-02-24,1950,1604.9545286441
"422",1961-02-25,1880,1488.41709781917
"423",1961-02-26,1820,1393.24267118608
"424",1961-02-27,1800,1324.65911529455
"425",1961-02-28,1710,1295.45211381555
"426",1961-03-01,1720,1305.35596307994
"427",1961-03-02,1800,1381.20142129972
"428",1961-03-03,1880,1522.02074629534
"429",1961-03-04,1820,1648.68696590295
"430",1961-03-05,1880,1675.52476364839
"431",1961-03-06,1820,1617.76559016301
"432",1961-03-07,1720,1534.4332604723
"433",1961-03-08,1680,1462.61246635736
"434",1961-03-09,1720,1423.28773759656
"435",1961-03-10,1670,1412.23922915867
"436",1961-03-11,1690,1423.38098028512
"437",1961-03-12,1680,1444.37725638901
"438",1961-03-13,1700,1470.87688971588
"439",1961-03-14,1720,1543.42217782468
"440",1961-03-15,2180,1710.15044691105
"441",1961-03-16,2440,1840.68920994604
"442",1961-03-17,2210,1837.170158485
"443",1961-03-18,2100,1783.09594886786
"444",1961-03-19,2020,1775.6003457437
"445",1961-03-20,1960,1920.96679400158
"446",1961-03-21,1920,2159.14279978346
"447",1961-03-22,1820,2220.90749922137
"448",1961-03-23,1780,2075.42589160789
"449",1961-03-24,1720,1867.45153690984
"450",1961-03-25,1670,1650.2973754589
"451",1961-03-26,1650,1496.7513337677
"452",1961-03-27,1650,1401.69236394978
"453",1961-03-28,1640,1362.39355961546
"454",1961-03-29,1640,1368.55394557116
"455",1961-03-30,1660,1373.32973123825
"456",1961-03-31,1580,1355.24209704364
"457",1961-04-01,1690,1465.4262170562
"458",1961-04-02,2080,1687.42084523337
"459",1961-04-03,2080,1874.24592115247
"460",1961-04-04,2160,2019.7740555177
"461",1961-04-05,2180,2093.0581491991
"462",1961-04-06,2140,2059.27362774046
"463",1961-04-07,2160,1968.94982346281
"464",1961-04-08,2180,1883.84457499525
"465",1961-04-09,2190,1821.37581371122
"466",1961-04-10,2300,1836.93632432568
"467",1961-04-11,2390,1873.46152472452
"468",1961-04-12,2370,1864.79493092603
"469",1961-04-13,2360,1862.14835894359
"470",1961-04-14,2300,1846.78039520791
"471",1961-04-15,2200,1769.7485393782
"472",1961-04-16,2120,1670.62941760454
"473",1961-04-17,2040,1595.30925922077
"474",1961-04-18,1970,1563.9256685467
"475",1961-04-19,1860,1613.28635270297
"476",1961-04-20,1990,1587.66986249224
"477",1961-04-21,2110,1603.42039511135
"478",1961-04-22,1980,1552.64932829316
"479",1961-04-23,1860,1460.20431820309
"480",1961-04-24,1830,1379.27266080622
"481",1961-04-25,1750,1327.13130072309
"482",1961-04-26,1710,1321.90793178038
"483",1961-04-27,1710,1389.82503692385
"484",1961-04-28,1780,1428.25010851614
"485",1961-04-29,1960,1408.57120521235
"486",1961-04-30,1850,1441.19633295849
"487",1961-05-01,1840,1508.41431276537
"488",1961-05-02,2600,1679.1732423538
"489",1961-05-03,2490,1731.49691571869
"490",1961-05-04,2100,1629.94239363687
"491",1961-05-05,2000,1536.31458137484
"492",1961-05-06,2080,1564.1206487737
"493",1961-05-07,2040,1598.34642943844
"494",1961-05-08,2110,1615.67386593836
"495",1961-05-09,2380,1781.4472359842
"496",1961-05-10,2380,1960.07662279893
"497",1961-05-11,2460,2096.64027844215
"498",1961-05-12,2660,2218.01908565602
"499",1961-05-13,2890,2345.11591286364
"500",1961-05-14,3180,2636.58873569834
"501",1961-05-15,3560,3112.63273249131
"502",1961-05-16,4160,3678.3114283533
"503",1961-05-17,4870,4281.1263856534
"504",1961-05-18,4930,4591.96064817768
"505",1961-05-19,4220,4414.64554310757
"506",1961-05-20,3620,3891.40827443466
"507",1961-05-21,3260,3287.15677609107
"508",1961-05-22,3060,2825.92502341215
"509",1961-05-23,2820,2588.93157635532
"510",1961-05-24,2760,2494.29332284356
"511",1961-05-25,2600,2345.02426186901
"512",1961-05-26,2560,2124.37980769474
"513",1961-05-27,2500,1952.82056399965
"514",1961-05-28,2500,1906.81980717901
"515",1961-05-29,2650,2038.37654089123
"516",1961-05-30,2780,2338.03742931329
"517",1961-05-31,2800,2446.76313350877
"518",1961-06-01,2720,2453.97543569486
"519",1961-06-02,2540,2367.04353527438
"520",1961-06-03,2520,2266.24876393572
"521",1961-06-04,3040,2289.69639998945
"522",1961-06-05,3460,2613.24059747053
"523",1961-06-06,3380,2839.55269609767
"524",1961-06-07,3080,2801.33468358649
"525",1961-06-08,3100,2714.50612007797
"526",1961-06-09,3320,2799.37282949369
"527",1961-06-10,3820,3015.29794489246
"528",1961-06-11,3580,3151.54183484152
"529",1961-06-12,3440,3159.74812042356
"530",1961-06-13,3340,3168.70427293968
"531",1961-06-14,3300,3079.41829644589
"532",1961-06-15,3260,2903.87123115963
"533",1961-06-16,3340,2851.53683744675
"534",1961-06-17,3240,2841.52971969988
"535",1961-06-18,3120,2685.26360063071
