#      date    value 
cdo(1) remapnn: Nearest neighbor weights from lonlat (166x66) to lonlat (1x1) grid, with source mask (6265)
 2018-06-16 1905.34038205301 
 2018-06-17 1988.47836941711 
 2018-06-18 2044.48842277924 
 2018-06-19 2088.21770130867 
 2018-06-20 2155.33065330388 
 2018-06-21 2143.97180943768 
 2018-06-22 2028.2929454609 
 2018-06-23 1878.48420388228 
 2018-06-24 1783.29771768796 
 2018-06-25 1742.28940102954 
 2018-06-26 1697.86949662511 
 2018-06-27 1644.13732075261 
 2018-06-28 1593.71579705906 
 2018-06-29 1603.56534397725 
 2018-06-30 1572.17555843586 
 2018-07-01 1595.23325697721 
 2018-07-02 1656.81774024246 
 2018-07-03 1707.53068484421 
 2018-07-04 1750.69621000388 
 2018-07-05 1850.15035156933 
 2018-07-06 1929.7387658447 
 2018-07-07 1887.31418809009 
 2018-07-08 1770.663500839 
 2018-07-09 1690.62610428683 
 2018-07-10 1661.80701414434 
 2018-07-11 1680.55560322396 
 2018-07-12 1705.54777653374 
 2018-07-13 1805.76344241557 
 2018-07-14 1947.65402757615 
 2018-07-15 1973.75088522339 
 2018-07-16 1875.93227023949 
 2018-07-17 1743.93292907736 
 2018-07-18 1641.56317286716 
 2018-07-19 1571.26409783792 
 2018-07-20 1514.55742734587 
 2018-07-21 1460.0337825665 
 2018-07-22 1425.01045009981 
 2018-07-23 1432.57716821573 
 2018-07-24 1458.84891648328 
 2018-07-25 1464.29590127048 
 2018-07-26 1472.8489214792 
 2018-07-27 1490.52814049731 
 2018-07-28 1484.57547684217 
 2018-07-29 1490.01538934498 
 2018-07-30 1515.24497314704 
 2018-07-31 1456.62858342417 
 2018-08-01 1348.67979138525 
 2018-08-02 1270.43065163568 
 2018-08-03 1225.32509802851 
 2018-08-04 1202.22718234935 
 2018-08-05 1177.42821983141 
 2018-08-06 1138.65918107474 
 2018-08-07 1104.91094141467 
 2018-08-08 1079.12719201616 
 2018-08-09 1060.3602282434 
 2018-08-10 1055.91872815052 
 2018-08-11 1050.74789278819 
 2018-08-12 1033.19992265867 
 2018-08-13 1035.05934650866 
 2018-08-14 1058.04654457607 
 2018-08-15 1074.98337909295 
 2018-08-16 1100.31309732627 
 2018-08-17 1121.15410387498 
 2018-08-18 1095.6790240942 
 2018-08-19 1051.25153203964 
 2018-08-20 1030.98361337747 
 2018-08-21 1023.539046381 
 2018-08-22 997.460847381062 
 2018-08-23 960.767248545155 
 2018-08-24 932.735858772922 
 2018-08-25 912.166802130417 
 2018-08-26 931.042810491442 
 2018-08-27 981.238986736435 
 2018-08-28 1044.24977788252 
 2018-08-29 1146.14654589288 
 2018-08-30 1266.81785086772 
 2018-08-31 1334.07499868286 
 2018-09-01 1340.82625339445 
 2018-09-02 1353.83234490382 
 2018-09-03 1460.72830029202 
 2018-09-04 1749.45044925409 
 2018-09-05 2073.80508393281 
 2018-09-06 2450.51834718419 
 2018-09-07 2638.75466992709 
 2018-09-08 2545.07278395435 
 2018-09-09 2364.0383327262 
 2018-09-10 2217.39440710257 
 2018-09-11 2080.05920951808 
 2018-09-12 1892.44480145444 
 2018-09-13 1691.49553332752 
 2018-09-14 1553.75712594685 
 2018-09-15 1475.15893703359 
 2018-09-16 1396.45840798561 
 2018-09-17 1328.42370401931 
 2018-09-18 1284.63122309061 
 2018-09-19 1256.30594592691 
 2018-09-20 1269.27138496587 
 2018-09-21 1274.14716442948 
 2018-09-22 1259.87512601615 
 2018-09-23 1218.00592368445 
 2018-09-24 1167.53873854082 
 2018-09-25 1151.0464534819 
 2018-09-26 1188.79634290566 
 2018-09-27 1199.57179037176 
 2018-09-28 1186.39822100936 
 2018-09-29 1200.42661505914 
 2018-09-30 1243.5180519322 
 2018-10-01 1288.79708477105 
 2018-10-02 1285.65765794546 
 2018-10-03 1221.32670644321 
 2018-10-04 1143.16975658059 
 2018-10-05 1084.60277862038 
 2018-10-06 1042.19790034625 
 2018-10-07 1028.10099704 
 2018-10-08 1060.03476439459 
 2018-10-09 1110.31551412652 
 2018-10-10 1126.09718003715 
 2018-10-11 1104.61836863509 
 2018-10-12 1059.46353879357 
 2018-10-13 1015.4756702349 
 2018-10-14 979.27849300233 
 2018-10-15 944.242523027946 
 2018-10-16 910.998815480025 
 2018-10-17 881.691248305839 
 2018-10-18 855.944880233236 
 2018-10-19 834.747310332599 
 2018-10-20 813.268622890166 
 2018-10-21 793.497536879361 
 2018-10-22 775.438799256928 
 2018-10-23 758.79332393754 
 2018-10-24 742.605001084496 
 2018-10-25 727.150004558612 
 2018-10-26 716.792959530974 
 2018-10-27 722.619550085296 
 2018-10-28 756.448289131489 
 2018-10-29 824.705534809992 
 2018-10-30 893.555301962062 
 2018-10-31 1039.17831404305 
 2018-11-01 1328.62026137358 
 2018-11-02 1885.57102588969 
 2018-11-03 2429.85449839936 
 2018-11-04 2609.78489274475 
 2018-11-05 2601.70232780252 
 2018-11-06 2617.17736564354 
 2018-11-07 2539.04569021934 
 2018-11-08 2330.13770140615 
 2018-11-09 2095.16857580665 
 2018-11-10 1903.11056080583 
 2018-11-11 1738.72776045256 
 2018-11-12 1580.93117620412 
 2018-11-13 1439.83912176016 
 2018-11-14 1322.44281391673 
 2018-11-15 1226.78819634598 
 2018-11-16 1145.61761326077 
 2018-11-17 1077.0557691989 
 2018-11-18 1023.76495995458 
 2018-11-19 975.521969593661 
 2018-11-20 941.183346573044 
 2018-11-21 915.483300319871 
 2018-11-22 904.376687156105 
 2018-11-23 892.151508436257 
 2018-11-24 864.907567177766 
 2018-11-25 845.944317520878 
 2018-11-26 833.686926548173 
 2018-11-27 867.590941154393 
 2018-11-28 989.77999794093 
 2018-11-29 1114.68588863488 
 2018-11-30 1143.99912603889 
 2018-12-01 1122.25812673548 
 2018-12-02 1064.2659972654 
 2018-12-03 1011.84235165495 
 2018-12-04 975.132210769915 
 2018-12-05 916.420412082362 
 2018-12-06 861.103359198346 
 2018-12-07 849.111182900793 
 2018-12-08 933.361005120132 
 2018-12-09 1080.3234317342 
 2018-12-10 1207.81583484988 
 2018-12-11 1276.3428172874 
 2018-12-12 1292.18889620937 
 2018-12-13 1282.7866904795 
 2018-12-14 1310.92226191008 
 2018-12-15 1389.35523800004 
 2018-12-16 1519.68594293802 
 2018-12-17 1630.82931474146 
 2018-12-18 1634.92296521225 
 2018-12-19 1539.02220543501 
 2018-12-20 1410.31127486172 
 2018-12-21 1288.36896027814 
 2018-12-22 1194.04637308669 
 2018-12-23 1134.85905930762 
 2018-12-24 1103.91508642644 
 2018-12-25 1058.51195614319 
 2018-12-26 1086.15460385659 
 2018-12-27 1224.89310177355 
 2018-12-28 1565.65038631717 
 2018-12-29 2050.53791379004 
 2018-12-30 2597.71699973872 
 2018-12-31 3066.6115423693 
 2019-01-01 3270.4528527735 
 2019-01-02 3180.90655027807 
 2019-01-03 2919.7690363618 
 2019-01-04 2623.33388657731 
 2019-01-05 2361.5273313271 
 2019-01-06 2183.47959324189 
 2019-01-07 2118.2375771718 
 2019-01-08 2089.09959296728 
 2019-01-09 2001.10603474821 
 2019-01-10 1873.87930016735 
 2019-01-11 1713.94400087959 
 2019-01-12 1573.08023167113 
 2019-01-13 1537.512235986 
 2019-01-14 1608.28820651716 
 2019-01-15 1687.09543494551 
 2019-01-16 1717.50691759734 
 2019-01-17 1675.02064310549 
 2019-01-18 1608.83568631294 
 2019-01-19 1601.33322356896 
 2019-01-20 1734.75899917777 
 2019-01-21 1943.69313832378 
 2019-01-22 2060.92845767017 
 2019-01-23 2013.92882585166 
 2019-01-24 1875.44738493566 
 2019-01-25 1738.94415255648 
 2019-01-26 1614.43606601124 
 2019-01-27 1492.90879848781 
 2019-01-28 1387.74113975941 
 2019-01-29 1303.28052094553 
 2019-01-30 1251.1536373908 
 2019-01-31 1212.12388037154 
 2019-02-01 1175.17824110784 
 2019-02-02 1166.18423621392 
 2019-02-03 1148.06890671785 
 2019-02-04 1143.8647146552 
 2019-02-05 1188.91090909911 
 2019-02-06 1353.93626804186 
 2019-02-07 1495.35493328692 
 2019-02-08 1596.72546782064 
 2019-02-09 1714.54803620866 
 2019-02-10 1792.10471657763 
 2019-02-11 1778.98277234652 
 2019-02-12 1689.33257587839 
 2019-02-13 1593.80710476131 
 2019-02-14 1538.2769964527 
 2019-02-15 1522.4042275946 
 2019-02-16 1569.21187944127 
 2019-02-17 1695.89808005118 
 2019-02-18 1867.11934538406 
 2019-02-19 1990.94138913534 
 2019-02-20 1999.02276599112 
 2019-02-21 1925.85969797561 
 2019-02-22 1852.98972281883 
 2019-02-23 1810.27758435832 
 2019-02-24 1800.14109405099 
 2019-02-25 1835.42017059621 
 2019-02-26 1933.10465743405 
 2019-02-27 2066.6213954402 
 2019-02-28 2211.86270416964 
 2019-03-01 2376.07717817823 
 2019-03-02 2463.05899970806 
 2019-03-03 2429.7782720382 
 2019-03-04 2363.903613307 
 2019-03-05 2339.89810305404 
 2019-03-06 2364.22461090961 
 2019-03-07 2474.68338656985 
 2019-03-08 2693.43133748811 
 2019-03-09 2886.53365543205 
 2019-03-10 2946.96417466123 
 2019-03-11 2977.78146027004 
 2019-03-12 3022.26523566427 
 2019-03-13 3013.02836959582 
 2019-03-14 3020.92828884915 
 2019-03-15 3109.06178402479 
 2019-03-16 3218.34661599548 
 2019-03-17 3271.55108569771 
 2019-03-18 3251.04418225394 
 2019-03-19 3193.81881243914 
 2019-03-20 3174.59825312785 
 2019-03-21 3278.8140998383 
 2019-03-22 3507.30268964204 
 2019-03-23 3710.63305156507 
 2019-03-24 3793.63928579177 
 2019-03-25 3772.7752057537 
 2019-03-26 3630.63417206841 
 2019-03-27 3380.72142745684 
 2019-03-28 3117.64249074296 
 2019-03-29 2902.80830844021 
 2019-03-30 2757.21467795036 
 2019-03-31 2656.0294556606 
 2019-04-01 2576.07785936291 
 2019-04-02 2484.44553414203 
 2019-04-03 2357.73192158945 
 2019-04-04 2218.96266223631 
 2019-04-05 2110.8067426499 
 2019-04-06 2051.35058935928 
 2019-04-07 2034.07029883312 
 2019-04-08 2063.29320345799 
 2019-04-09 2118.88660452948 
 2019-04-10 2148.37096064277 
 2019-04-11 2181.7536044638 
 2019-04-12 2228.67016399214 
 2019-04-13 2304.38484010174 
 2019-04-14 2352.80031515484 
 2019-04-15 2368.04154824287 
 2019-04-16 2383.40478518783 
 2019-04-17 2402.44445049198 
 2019-04-18 2405.65706536122 
 2019-04-19 2335.74840964733 
 2019-04-20 2195.83519434759 
 2019-04-21 2039.37191435764 
 2019-04-22 1905.16361980509 
 2019-04-23 1794.79853556785 
 2019-04-24 1710.88075679788 
 2019-04-25 1656.45604131284 
 2019-04-26 1633.19575928338 
 2019-04-27 1646.4616744657 
 2019-04-28 1655.13628806418 
 2019-04-29 1657.48428938851 
 2019-04-30 1675.01771554241 
 2019-05-01 1714.85923461746 
 2019-05-02 1761.96351055467 
 2019-05-03 1796.03880585946 
 2019-05-04 1862.788799609 
 2019-05-05 1985.15023343699 
 2019-05-06 2050.4499112644 
 2019-05-07 2092.76058504299 
 2019-05-08 2111.49812366289 
 2019-05-09 2122.64369105617 
 2019-05-10 2098.32525669731 
 2019-05-11 2066.34532610022 
 2019-05-12 2052.21350026908 
 2019-05-13 2020.01146790477 
 2019-05-14 1980.24901963167 
 2019-05-15 1962.11149813962 
 2019-05-16 2055.55013000275 
 2019-05-17 2131.40052480802 
 2019-05-18 2186.40861207668 
 2019-05-19 2304.57396097491 
 2019-05-20 2403.03328508781 
 2019-05-21 2392.79898967473 
 2019-05-22 2283.29378011912 
 2019-05-23 2109.48170896708 
 2019-05-24 2005.61905962986 
 2019-05-25 1990.71301003631 
 2019-05-26 2076.3318893615 
 2019-05-27 2492.2160884612 
 2019-05-28 3246.7258975999 
 2019-05-29 3897.16181070873 
 2019-05-30 4176.11325790911 
 2019-05-31 4221.12466744898 
 2019-06-01 4223.09355704174 
 2019-06-02 4251.23759255233 
 2019-06-03 4219.59352469421 
 2019-06-04 4165.08437812416 
 2019-06-05 4191.53366231294 
 2019-06-06 4154.43494927482 
 2019-06-07 3922.28202272174 
 2019-06-08 3584.98839900171 
 2019-06-09 3261.57006909862 
 2019-06-10 2998.43704735709 
 2019-06-11 2828.20399284715 
 2019-06-12 2714.05279948629 
 2019-06-13 2594.04365278783 
 2019-06-14 2491.43856782706 
 2019-06-15 2433.84945476826 
 2019-06-16 2417.87819643687 
 2019-06-17 2385.34146178137 
 2019-06-18 2366.02124654847 
 2019-06-19 2423.34507947178 
 2019-06-20 2478.78081253728 
 2019-06-21 2411.85748954938 
 2019-06-22 2317.2634046757 
 2019-06-23 2297.77631735999 
 2019-06-24 2331.27460320167 
 2019-06-25 2423.16905620241 
 2019-06-26 2447.89298668779 
 2019-06-27 2425.88252425369 
 2019-06-28 2434.11663749318 
 2019-06-29 2402.8992702939 
 2019-06-30 2330.52084511956 
 2019-07-01 2212.27559523439 
 2019-07-02 2059.63709095959 
 2019-07-03 1929.82423393422 
 2019-07-04 1841.82770118165 
 2019-07-05 1805.18106285928 
 2019-07-06 1816.57581740913 
 2019-07-07 1818.41164200664 
 2019-07-08 1781.73723191085 
 2019-07-09 1739.19783437383 
 2019-07-10 1705.7334461258 
 2019-07-11 1641.56472024325 
 2019-07-12 1565.31734234941 
 2019-07-13 1499.60887720113 
 2019-07-14 1454.93402250593 
 2019-07-15 1434.06336574234 
 2019-07-16 1406.80405449553 
 2019-07-17 1373.22268650881 
 2019-07-18 1355.94573892215 
 2019-07-19 1340.83870888011 
 2019-07-20 1348.09977879741 
 2019-07-21 1354.09992614856 
 2019-07-22 1292.42421556204 
 2019-07-23 1206.15265365217 
 2019-07-24 1149.30248405328 
 2019-07-25 1122.89013064642 
 2019-07-26 1108.72672486933 
 2019-07-27 1100.68766310775 
 2019-07-28 1100.35628160889 
 2019-07-29 1132.26882012562 
 2019-07-30 1192.56130407044 
 2019-07-31 1213.1014350634 
 2019-08-01 1218.70768904132 
 2019-08-02 1231.95778734202 
 2019-08-03 1241.24329833961 
 2019-08-04 1333.4024520214 
 2019-08-05 1499.2261685806 
 2019-08-06 1554.16337682349 
 2019-08-07 1484.41734782691 
 2019-08-08 1412.65024362234 
 2019-08-09 1361.43561900772 
 2019-08-10 1328.7050723677 
 2019-08-11 1330.01512839952 
 2019-08-12 1355.10466003728 
 2019-08-13 1345.06601880816 
 2019-08-14 1309.51231117971 
 2019-08-15 1355.98290698578 
 2019-08-16 1423.13441184617 
 2019-08-17 1423.45424270896 
 2019-08-18 1421.3252900212 
 2019-08-19 1403.34276460617 
 2019-08-20 1430.78267790454 
 2019-08-21 1487.42599979788 
 2019-08-22 1505.09837366344 
 2019-08-23 1469.04267334521 
 2019-08-24 1407.68548567621 
 2019-08-25 1369.98524162874 
 2019-08-26 1379.05086402913 
 2019-08-27 1440.52267495047 
 2019-08-28 1577.83423561568 
 2019-08-29 1681.22876328925 
 2019-08-30 1631.56145980586 
 2019-08-31 1508.64735833884 
 2019-09-01 1407.75041453764 
 2019-09-02 1336.57962147353 
 2019-09-03 1281.08251207368 
 2019-09-04 1230.52119898943 
 2019-09-05 1200.81504448816 
 2019-09-06 1222.228680005 
 2019-09-07 1280.64312853723 
 2019-09-08 1340.06907029241 
 2019-09-09 1379.47563985026 
 2019-09-10 1497.11701384301 
 2019-09-11 1653.70352962429 
 2019-09-12 1822.47877761508 
