"","date","real","model"
"191",1960-07-09,1790,1269.80328420978
"192",1960-07-10,1890,1286.92979284883
"193",1960-07-11,2120,1345.38949273161
"194",1960-07-12,2020,1435.91785253692
"195",1960-07-13,1950,1591.52301451654
"196",1960-07-14,2620,1672.73383434034
"197",1960-07-15,2720,1767.78878335644
"198",1960-07-16,2360,1735.16844743239
"199",1960-07-17,2360,1751.68333765942
"200",1960-07-18,2660,1877.77329420977
"201",1960-07-19,2790,2011.96840209232
"202",1960-07-20,2530,2018.78066799504
"203",1960-07-21,2400,1918.80750423302
"204",1960-07-22,2490,2015.43522736675
"205",1960-07-23,2840,2145.02592641778
"206",1960-07-24,2840,2284.72172219237
"207",1960-07-25,3030,2455.79207228161
"208",1960-07-26,3230,2596.30037384723
"209",1960-07-27,3180,2702.53119336565
"210",1960-07-28,3280,2618.8038242901
"211",1960-07-29,3150,2414.65987701082
"212",1960-07-30,3040,2264.70119489218
"213",1960-07-31,2880,2104.04393483506
"214",1960-08-01,2720,1913.99056917278
"215",1960-08-02,2590,1750.46589894087
"216",1960-08-03,2570,1681.0839069247
"217",1960-08-04,2680,1833.26009068756
"218",1960-08-05,2600,2006.09593313874
"219",1960-08-06,2530,2045.67141226677
"220",1960-08-07,2380,1925.50870773296
"221",1960-08-08,2360,1904.68229871797
"222",1960-08-09,2360,2029.08714330585
"223",1960-08-10,2360,2089.16735982224
"224",1960-08-11,2860,2180.97157200158
"225",1960-08-12,2740,2331.73871230582
"226",1960-08-13,2680,2478.26525128978
"227",1960-08-14,3300,2590.53473539466
"228",1960-08-15,4310,2795.03607025166
"229",1960-08-16,3680,2951.12325312613
"230",1960-08-17,3340,2905.09544036643
"231",1960-08-18,3180,2705.27104582228
"232",1960-08-19,2820,2470.3201111985
"233",1960-08-20,2740,2355.8005887422
"234",1960-08-21,3500,2527.99705860746
"235",1960-08-22,3410,2738.43984257244
"236",1960-08-23,3460,2786.29740698602
"237",1960-08-24,3160,2615.79656850951
"238",1960-08-25,2780,2315.84799213758
"239",1960-08-26,2560,2032.87950986359
"240",1960-08-27,2410,1805.07766963213
"241",1960-08-28,2270,1636.74914383675
"242",1960-08-29,2160,1576.28349088774
"243",1960-08-30,2040,1531.5479587445
"244",1960-08-31,2050,1490.75434022955
"245",1960-09-01,2010,1510.45630013099
"246",1960-09-02,2160,1550.5779819551
"247",1960-09-03,1970,1526.76862585932
"248",1960-09-04,1820,1466.45615009124
"249",1960-09-05,1790,1457.50291468469
"250",1960-09-06,1690,1570.0464815302
"251",1960-09-07,2400,1880.32534652111
"252",1960-09-08,3170,2340.04539262509
"253",1960-09-09,2920,2674.53100616213
"254",1960-09-10,2790,2731.21291102103
"255",1960-09-11,2640,2647.00295542072
"256",1960-09-12,2420,2484.7334727892
"257",1960-09-13,2210,2242.62263961254
"258",1960-09-14,2010,1986.63814175041
"259",1960-09-15,1900,1766.24319512307
"260",1960-09-16,1790,1591.67281100116
"261",1960-09-17,1740,1466.57596766852
"262",1960-09-18,1660,1379.07424959412
"263",1960-09-19,1910,1340.10434677182
"264",1960-09-20,2290,1541.85425994045
"265",1960-09-21,1990,1801.26157055381
"266",1960-09-22,2030,1867.74182900811
"267",1960-09-23,2140,1962.48421638264
"268",1960-09-24,2050,1970.57877160669
"269",1960-09-25,1880,1836.38298619979
"270",1960-09-26,1740,1690.44617447822
"271",1960-09-27,1670,1558.28177902925
"272",1960-09-28,1610,1450.31947470267
"273",1960-09-29,1550,1365.79025290679
"274",1960-09-30,1500,1302.97109974225
"275",1960-10-01,1500,1262.00018560053
"276",1960-10-02,1490,1297.30976328101
"277",1960-10-03,1500,1389.66213923212
"278",1960-10-04,1520,1459.44460784573
"279",1960-10-05,1440,1430.33465602181
"280",1960-10-06,1420,1333.45831142577
"281",1960-10-07,1410,1321.00945658599
"282",1960-10-08,1450,1331.8449849892
"283",1960-10-09,1470,1428.60500737414
"284",1960-10-10,1680,1753.84782562108
"285",1960-10-11,1630,1872.63600792282
"286",1960-10-12,1830,1823.9871810654
"287",1960-10-13,1820,1877.5478863949
"288",1960-10-14,1780,1891.06981682322
"289",1960-10-15,1700,1880.44244160285
"290",1960-10-16,1640,1865.43147966276
"291",1960-10-17,1610,1764.22499809142
"292",1960-10-18,1740,1966.76108524892
"293",1960-10-19,2090,2299.48937617623
"294",1960-10-20,2360,2482.43387837039
"295",1960-10-21,2370,2485.00614439322
"296",1960-10-22,2310,2462.86000918201
"297",1960-10-23,2340,2350.37015148819
"298",1960-10-24,2230,2205.08964318418
"299",1960-10-25,2020,2046.4753047375
"300",1960-10-26,1970,1882.23718868159
"301",1960-10-27,1930,1769.56505082688
"302",1960-10-28,1880,1701.19931620248
"303",1960-10-29,1840,1652.52069950519
