date OBS SIM
2018-05-20 3490 2671.06331367249
2018-05-21 3710 2627.81151790597
2018-05-22 3760 2625.44701851776
2018-05-23 3650 2688.21337815428
2018-05-24 3520 2719.63588535839
2018-05-25 3340 2661.78784706889
2018-05-26 3150 2547.75564006074
2018-05-27 3010 2444.11743397456
2018-05-28 2970 2398.21729574099
2018-05-29 2990 2355.10417674543
2018-05-30 3040 2311.08636539974
2018-05-31 3090 2277.06368791617
2018-06-01 3070 2280.88138936075
2018-06-02 3040 2289.64076262895
2018-06-03 3060 2249.5682303134
2018-06-04 3080 2209.44159118177
2018-06-05 3110 2209.55184434841
2018-06-06 3130 2224.13626578199
2018-06-07 3140 2210.7725829496
2018-06-08 3100 2193.43650424933
2018-06-09 3070 2215.1581857258
2018-06-10 3030 2275.58129420248
2018-06-11 2980 2337.15702739053
2018-06-12 2990 2300.76922386729
2018-06-13 3020 2219.62738792379
2018-06-14 2990 2167.61862538527
2018-06-15 2920 2150.58575704601
2018-06-16 2890 2183.77566893983
2018-06-17 3010 2263.98757792266
2018-06-18 3400 2343.77153315563
2018-06-19 3730 2428.99383319336
2018-06-20 3690 2544.47316854676
2018-06-21 3460 2581.73007857728
2018-06-22 3130 2489.79990145821
2018-06-23 2880 2333.15549281305
2018-06-24 2710 2201.22688025473
2018-06-25 2570 2127.09613249863
2018-06-26 2490 2067.13086219665
