"","month","real","model"
"268","1982-04",17.135,10.9035862870904
"269","1982-05",7.69,7.93814394637105
"270","1982-06",5.654,6.78748520206047
"271","1982-07",5.379,5.26867487078251
"272","1982-08",6.038,4.51509940421472
"273","1982-09",5.563,3.23919080733182
"274","1982-10",6.08,2.82196708858078
"275","1982-11",6.253,1.88413989986412
"276","1982-12",5.446,2.7434951023027
"277","1983-01",8.409,5.72819326525728
"278","1983-02",17.911,5.70280451236663
"279","1983-03",20.045,8.88475526058659
"280","1983-04",25.436,10.9682859651256
"281","1983-05",10.35,9.0236275717779
"282","1983-06",9.12,7.25222143889344
"283","1983-07",8.554,4.86239019803994
"284","1983-08",4.755,3.33057912056778
"285","1983-09",3.476,3.06981315358591
"286","1983-10",3.88,2.0011789370183
"287","1983-11",3.798,1.69664143467201
"288","1983-12",3.284,1.58939602040653
"289","1984-01",3.855,1.38691334513105
"290","1984-02",3.803,2.16458750924513
"291","1984-03",4.76,2.17924908367877
"292","1984-04",7.829,3.5322710750989
"293","1984-05",12.225,4.60281667673949
"294","1984-06",5.234,2.64774538036779
"295","1984-07",4.704,2.69765480947429
"296","1984-08",4.628,2.85659485448976
"297","1984-09",5.241,3.92019005202988
"298","1984-10",5.708,3.01939432887344
"299","1984-11",5.896,2.86002817562087
"300","1984-12",6.709,1.93582319097682
"301","1985-01",6.127,1.42253853012212
"302","1985-02",12.812,7.56324372626697
"303","1985-03",28.081,9.53052908010308
"304","1985-04",23.611,7.94183870422344
"305","1985-05",22.614,11.334069592604
"306","1985-06",19.254,10.9238729295212
"307","1985-07",8.748,7.891818432674
"308","1985-08",33.618,16.2855032932119
"309","1985-09",9.809,8.81637954924484
"310","1985-10",7.047,5.20503859710407
"311","1985-11",7.01,4.90460976812271
"312","1985-12",20.347,10.8818027151962
"313","1986-01",27.78,15.1192825757808
"314","1986-02",16.25,11.3291768742942
"315","1986-03",22.874,12.9500543159923
"316","1986-04",17.374,9.2581314925405
"317","1986-05",8.215,7.38018129516892
"318","1986-06",14.645,9.77592775385354
"319","1986-07",11.755,8.30926467262163
"320","1986-08",8.827,6.79823033350995
"321","1986-09",7.809,4.53601887009314
"322","1986-10",6.461,3.59597024316596
"323","1986-11",5.883,2.88326441824225
"324","1986-12",5.7,3.33192148775793
"325","1987-01",31.868,8.06028003869271
"326","1987-02",29.698,10.4479353092675
"327","1987-03",43.623,19.7275509980873
"328","1987-04",47.607,22.1847099201186
"329","1987-05",28.706,16.8192917617164
"330","1987-06",36.613,21.8567008034261
"331","1987-07",28.781,19.4013417606968
"332","1987-08",11.573,12.2192325270553
"333","1987-09",7.749,8.93696738399425
"334","1987-10",8.189,6.62897962119446
"335","1987-11",9.573,5.64804675320463
"336","1987-12",13.942,8.14450433893695
